xyzDMxyzCountry,xyzDMxyzRequestYear,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDPxyzSI_MPM_EDUC,xyzDPxyzSI_MPM_EDUE,xyzDPxyzSI_MPM_ELEC,xyzDPxyzSI_MPM_IMPS,xyzDPxyzSI_MPM_IMPW,xyzDPxyzSI_MPM_POOR,xyzDPxyzSI_MPM_MDHC,survname,survey_coverage,comparable_spell
BEN,2018,FALSE,CONS,.5022199,.3146803,.5427265,.8002577,.22069069,.2008219,.5333803,EHCVM,N,2018-2021
BEN,2021,FALSE,CONS,.4902389,.3166182,.348183,.7664959,.2410913,.1272328,.4544324,EHCVM,N,2018-2021
BFA,2014,FALSE,CONS,.6469518,.5804275,.7926174,.6331269,.20617487,.3960286,.7300844,EMC,N,2014
BFA,2018,FALSE,CONS,.5643739,.5093923,.4719777,.6963881,.19688279,.3120382,.6046739,EHCVM,N,2018-2021
BFA,2021,FALSE,CONS,.4789394,.5100906,.3525817,.587326,.17327691,.2527707,.5298119,EHCVM,N,2018-2021
BGD,2010,FALSE,CONS,.2914437,.1683337,.4363035,.4832358,.03752672,.1822386,.3134974,HIES,N,2000-2016
BGD,2016,FALSE,CONS,.2202592,.0837466,.2364338,.5448481,.02806764,.1346497,.2048786,HIES,N,2000-2016
BGD,2022,FALSE,CONS,.130215,.0552793,.0230775,.3031985,.02734068,.0411064,.0592396,HIES,N,2022
BGR,2008,FALSE,INC,.0086443,,0,,0,.0125118,.0205427,EU-SILC,N,2006-2014
BGR,2010,FALSE,INC,.0118447,,0,.2478638,.15181894,.0200774,.0304114,EU-SILC,N,2006-2014
BGR,2011,FALSE,INC,.0129782,,0,.2242799,.138754,.0245876,.035658,EU-SILC,N,2006-2014
BGR,2012,FALSE,INC,.0125056,,0,.2131343,.13810326,.0230944,.0323535,EU-SILC,N,2006-2014
BGR,2013,FALSE,INC,.0094331,,0,.2063946,.1249498,.0178378,.0260391,EU-SILC,N,2006-2014
BGR,2014,FALSE,INC,.0117536,,0,.1856489,.11628552,.0166031,.0254176,EU-SILC,N,2006-2014
BGR,2015,FALSE,INC,.0100971,,0,.1845251,.11234024,.0341965,.0403725,EU-SILC,N,2015-2021
BGR,2016,FALSE,INC,.0101108,,0,.1670022,.10363239,.0196649,.0267427,EU-SILC,N,2015-2021
BGR,2017,FALSE,INC,.0067674,,0,.1532192,.09377896,.0137177,.0196594,EU-SILC,N,2015-2021
BGR,2018,FALSE,INC,.0079022,,0,.1368348,.07880975,.0087046,.0154961,EU-SILC,N,2015-2021
BGR,2019,FALSE,INC,.0057717,,0,.1319379,.07431327,.0092999,.0144522,EU-SILC,N,2015-2021
BGR,2020,FALSE,INC,.0059454,,0,,0,.0024786,.008424,EU-SILC,N,2015-2021
BGR,2021,FALSE,INC,.0062884,,0,,0,.0069914,.0132798,EU-SILC,N,2015-2021
BLR,2010,FALSE,CONS,.0002423,,,.1217548,.10380375,.0003394,.1015229,HHS,N,1998-2020
BLR,2011,FALSE,CONS,.0006219,,,.1266616,.10712004,.0000658,.1049951,HHS,N,1998-2020
BLR,2012,FALSE,CONS,.0002846,,,.1324869,.10869284,.0001206,.1070876,HHS,N,1998-2020
BLR,2013,FALSE,CONS,.0001313,,,.1059819,.08676938,0,.0856811,HHS,N,1998-2020
BLR,2014,FALSE,CONS,.0002689,,,.090482,.07433946,0,.0736179,HHS,N,1998-2020
BLR,2017,FALSE,CONS,.0003561,,,.067615,.05095056,0,.0499255,HHS,N,1998-2020
BLR,2018,FALSE,CONS,0,,,.0525763,.04393536,0,.0427852,HHS,N,1998-2020
BLR,2019,FALSE,CONS,0,,,.0459649,.03342947,0,.0315751,HHS,N,1998-2020
BOL,2011,FALSE,INC,.1762622,.0380715,.1153774,.1916154,.17873568,.052989,.1268489,EH,N,2005-2021
BOL,2012,FALSE,INC,.1765886,.0312684,.08873,.2763424,.08899745,.0646794,.116612,EH,N,2005-2021
BOL,2013,FALSE,INC,.1671685,.0313306,.0954623,.2643218,.08693944,.0517307,.1101222,EH,N,2005-2021
BOL,2014,FALSE,INC,.1836504,.043438,.0960156,.3257526,.0788311,.0427589,.1084392,EH,N,2005-2021
BOL,2015,FALSE,INC,.1522281,.037643,.0837274,.2664806,.10824726,.0462996,.1015842,EH,N,2005-2021
BOL,2016,FALSE,INC,.1684224,.0304668,.0727893,.2167504,.11682515,.0562034,.1144904,EH,N,2005-2021
BOL,2017,FALSE,INC,.1618197,.0122806,.0721888,.2229465,.09685047,.0493336,.0959017,EH,N,2005-2021
BOL,2018,FALSE,INC,.1531383,.0155656,.0623139,.1977964,.09392192,.0327489,.0855824,EH,N,2005-2021
BOL,2019,FALSE,INC,.1338301,.0218443,.0487155,.1632324,.07386949,.0192054,.0560843,EH,N,2005-2021
BOL,2020,FALSE,INC,.1397589,.0205767,.0437238,.1771538,.06553709,.0312151,.0655366,EH,N,2005-2021
BOL,2021,FALSE,INC,.1228115,.0138387,.0293862,.1390599,.09903722,.019645,.0453978,EH,N,2005-2021
BRA,2016,FALSE,INC,.1714216,.0062298,.0024933,.3645637,.02024856,.0473375,.0571788,PNADC-E1,N,2012-2022
BRA,2017,FALSE,INC,.1651957,.0057312,.0023286,.3604706,.02143774,.0530275,.0619021,PNADC-E1,N,2012-2022
BRA,2018,FALSE,INC,.1579398,.0052994,.0027178,.3587137,.01797572,.0530607,.0603041,PNADC-E1,N,2012-2022
BRA,2019,FALSE,INC,.1501124,.004414,.0024595,.3434228,.01782774,.0540922,.0609172,PNADC-E1,N,2012-2022
BRA,2022,FALSE,INC,.1316361,.0044616,.0020542,.3257976,.01300809,.035053,.0407191,PNADC-E1,N,2012-2022
BTN,2012,FALSE,CONS,.4995933,.0652987,.1290476,.3376439,.01725661,.0173033,.1075637,BLSS,N,2007-2017
BTN,2017,FALSE,CONS,.4076138,.0412316,.0189661,.1431859,.0042957,.0094576,.0333084,BLSS,N,2007-2017
BTN,2022,FALSE,CONS,.2658655,.0375297,.0022913,.0707523,.00044948,.0000154,.0130168,BLSS,N,2022
BWA,2015,FALSE,CONS,.0818476,.042078,.3546946,.5204779,.03658751,.1503655,.2079021,BMTHS,N,2002-2015
CHE,2008,FALSE,INC,.0008476,,0,,0,.0024485,.0032961,EU-SILC,N,2006-2020
CHE,2009,FALSE,INC,.0002347,,0,,0,.0015431,.0017777,EU-SILC,N,2006-2020
CHE,2010,FALSE,INC,.0003613,,0,.0005845,.00073194,.0019524,.0023136,EU-SILC,N,2006-2020
CHE,2011,FALSE,INC,.0000749,,0,.0005512,.00101239,.0009726,.0010474,EU-SILC,N,2006-2020
CHE,2012,FALSE,INC,0,,0,.0000751,.00004363,.0005942,.0005942,EU-SILC,N,2006-2020
CHE,2013,FALSE,INC,0,,0,.0016353,.00229004,.0019126,.0019126,EU-SILC,N,2006-2020
CHE,2014,FALSE,INC,.0008341,,0,.0003161,.00069688,.0014917,.0023257,EU-SILC,N,2006-2020
CHE,2015,FALSE,INC,.0001764,,0,.0000726,.00012067,.0014121,.0015885,EU-SILC,N,2006-2020
CHE,2016,FALSE,INC,.0002322,,0,.0003332,.00069223,.001539,.0017711,EU-SILC,N,2006-2020
CHE,2017,FALSE,INC,.000088,,0,.0002948,.00083165,.0012795,.0013675,EU-SILC,N,2006-2020
CHE,2018,FALSE,INC,.0004273,,0,.0006698,.00078498,.0018104,.0022377,EU-SILC,N,2006-2020
CHE,2019,FALSE,INC,.0007121,,0,.0002707,.00056858,.0019551,.0026673,EU-SILC,N,2006-2020
CHE,2020,FALSE,INC,.00078,,0,,0,.0016865,.0024665,EU-SILC,N,2006-2020
CHL,2011,FALSE,INC,.0452977,.0052537,.00319,.0045321,.01616091,.0090388,.0099191,CASEN,N,2006-2022
CHL,2013,FALSE,INC,.040057,.0036895,.0031345,.005302,.01040902,.0051712,.0060209,CASEN,N,2006-2022
CHL,2015,FALSE,INC,.0351488,.0027672,.002103,.0050074,.00913011,.0042928,.0047064,CASEN,N,2006-2022
CHL,2017,FALSE,INC,.0336458,.0042703,.0028446,.0062299,.01228455,.0035971,.0042356,CASEN,N,2006-2022
CHL,2020,FALSE,INC,.0320291,.0323041,,.015305,.01072501,.0134157,.0181606,CASEN,N,2006-2022
CHL,2022,FALSE,INC,.0321419,.0037828,.0028926,.0116792,.01111704,.0039505,.0046388,CASEN,N,2006-2022
CIV,2015,FALSE,CONS,.5315217,.2556805,.3742282,.59466,.23283986,.3344714,.5239866,ENV,N,2002-2015
CIV,2018,FALSE,CONS,.4862349,.3038285,.1809883,.6441042,.20674755,.1150222,.3727345,EHCVM,N,2018-2021
CIV,2021,FALSE,CONS,.4451539,.2466248,.0926097,.598889,.17275844,.0973319,.2915839,EHCVM,N,2018-2021
CMR,2014,FALSE,CONS,.2439192,.15942,.0119847,.3891992,.23192838,.2565752,.3754531,ECAM-IV,N,2001-2014
COD,2012,FALSE,CONS,.2248078,.0798226,.8298409,.7999471,.47895573,.6968846,.7828093,E123,N,2004-2012
COG,2011,FALSE,CONS,.1339216,.0225018,.2985148,.4726284,.23358385,.3535745,.4158067,ECOM,N,2005-2011
COL,2010,FALSE,INC,.0838436,.0367338,.0339586,.1358154,.02743883,.0828506,.0987967,GEIH,N,2008-2020
COL,2011,FALSE,INC,.0788847,.0387961,.0323008,.1346819,.02519452,.0682821,.0839731,GEIH,N,2008-2020
COL,2012,FALSE,INC,.0765732,.0354895,.0294568,.1314853,.02545694,.0671516,.0809077,GEIH,N,2008-2020
COL,2013,FALSE,INC,.0716897,.0296344,.0243356,.1200202,.02567625,.061117,.0722822,GEIH,N,2008-2020
COL,2014,FALSE,INC,.0665095,.0302802,.0236858,.1181763,.02243619,.0543138,.0641427,GEIH,N,2008-2020
COL,2015,FALSE,INC,.0642946,.0286175,.0189172,.1067338,.0219655,.0492548,.0580233,GEIH,N,2008-2020
COL,2016,FALSE,INC,.0600055,.0269031,.0164196,.088921,.02236602,.0491353,.0563143,GEIH,N,2008-2020
COL,2017,FALSE,INC,.0572472,.025424,.0154121,.087172,.02285807,.0433946,.0502823,GEIH,N,2008-2020
COL,2018,FALSE,INC,.0546687,.0261808,.0148084,.0834874,.02492765,.0449826,.0514487,GEIH,N,2008-2020
COL,2019,FALSE,INC,.0506721,.0283748,.0132122,.0816692,.02444476,.0528474,.0585251,GEIH,N,2008-2020
COL,2020,FALSE,INC,.0541002,.0290245,.0153079,.0876511,.03020265,.0728289,.0781799,GEIH,N,2008-2020
COL,2021,FALSE,INC,.0505427,.027942,.0111097,.0767339,.01721011,.0733467,.0769817,GEIH,N,2021-2022
COL,2022,FALSE,INC,.0502323,.0271846,.0139078,.0685164,.03022405,.0603655,.0650938,GEIH,N,2021-2022
COM,2014,FALSE,CONS,.1525051,.0727462,.284703,.6722199,.0638508,.1864372,.262547,EESIC,N,2014
CPV,2015,FALSE,CONS,.1166806,.0268418,.0988584,.3021393,.11101359,.0456423,.0760978,IDRF,N,2015
CRI,2010,FALSE,INC,.051137,.0180334,.0085301,.0307552,.00976164,.0148935,.0203471,ENAHO,N,2010-2022
CRI,2011,FALSE,INC,.0463569,.0170276,.0051498,.0303369,.00804355,.017503,.021193,ENAHO,N,2010-2022
CRI,2012,FALSE,INC,.0459808,.0172064,.0030059,.0219134,.00652798,.0167337,.0195108,ENAHO,N,2010-2022
CRI,2013,FALSE,INC,.044653,.0138617,.0027903,.0245856,.00629096,.0164258,.0192327,ENAHO,N,2010-2022
CRI,2014,FALSE,INC,.0443103,.0101442,.0056856,.0191761,.00484516,.015053,.017657,ENAHO,N,2010-2022
CRI,2015,FALSE,INC,.0448859,.013816,.0061233,.0203628,.00510492,.0157323,.0188421,ENAHO,N,2010-2022
CRI,2016,FALSE,INC,.047554,.0102663,.0046466,.0213626,.0058232,.0133674,.0168188,ENAHO,N,2010-2022
CRI,2017,FALSE,INC,.046133,.0087365,.0031627,.0203455,.00403586,.0117235,.0142334,ENAHO,N,2010-2022
CRI,2018,FALSE,INC,.043461,.0099867,.0033252,.017805,.00374274,.0150575,.0174642,ENAHO,N,2010-2022
CRI,2019,FALSE,INC,.0395138,.0054789,.0028693,.0147982,.00428369,.0105714,.0116377,ENAHO,N,2010-2022
CRI,2020,FALSE,INC,.033989,.0050996,.0010459,.0138532,.00090489,.0229133,.0233576,ENAHO,N,2010-2022
CRI,2021,FALSE,INC,.036507,.0045229,.0026144,.0155786,.00252125,.0124219,.0132034,ENAHO,N,2010-2022
CRI,2022,FALSE,INC,.0388042,.0037931,.0016415,.0123075,.00215021,.0088687,.0100342,ENAHO,N,2010-2022
CYP,2008,FALSE,INC,.0282538,,0,,0,.0000847,.0283385,EU-SILC,N,2004-2021
CYP,2009,FALSE,INC,.0234006,,0,,0,.0011196,.0245203,EU-SILC,N,2004-2021
CYP,2010,FALSE,INC,.0252044,,0,.0115129,.01108682,.0003667,.0255711,EU-SILC,N,2004-2021
CYP,2011,FALSE,INC,.0203617,,0,.0094176,.0093652,.0000805,.0204031,EU-SILC,N,2004-2021
CYP,2012,FALSE,INC,.0186777,,0,.0106855,.01021076,.0000424,.0186777,EU-SILC,N,2004-2021
CYP,2013,FALSE,INC,.0181438,,0,.0102652,.00995347,.0009702,.0190619,EU-SILC,N,2004-2021
CYP,2014,FALSE,INC,.0148173,,0,.0086624,.00868192,.0007833,.0156006,EU-SILC,N,2004-2021
CYP,2015,FALSE,INC,.0157516,,0,.0071037,.00727763,.000268,.0160196,EU-SILC,N,2004-2021
CYP,2016,FALSE,INC,.0149189,,0,.0055901,.00582942,.0004115,.0153303,EU-SILC,N,2004-2021
CYP,2017,FALSE,INC,.0135509,,0,.0050989,.00541957,.0003283,.0138792,EU-SILC,N,2004-2021
CYP,2018,FALSE,INC,.012611,,0,.0045828,.00481345,.0001651,.0127761,EU-SILC,N,2004-2021
CYP,2019,FALSE,INC,.0107967,,0,.0044368,.00458467,.0015383,.012335,EU-SILC,N,2004-2021
CYP,2020,FALSE,INC,.0105725,,0,,0,.0001264,.010699,EU-SILC,N,2004-2021
CYP,2021,FALSE,INC,.0091204,,0,,0,.000053,.0091734,EU-SILC,N,2004-2021
CZE,2008,FALSE,INC,0,,0,,0,.0004055,.0004055,EU-SILC,N,2004-2021
CZE,2009,FALSE,INC,0,,0,,0,.0003438,.0003438,EU-SILC,N,2004-2021
CZE,2010,FALSE,INC,.0001462,,0,.0065816,.00528367,.0003937,.0005399,EU-SILC,N,2004-2021
CZE,2011,FALSE,INC,.000174,,0,.0094203,.00609462,.0005494,.0007234,EU-SILC,N,2004-2021
CZE,2012,FALSE,INC,.0001623,,0,.0091508,.00457192,.0006245,.0007869,EU-SILC,N,2004-2021
CZE,2013,FALSE,INC,.0001395,,0,.0070362,.00295403,.0005318,.0006713,EU-SILC,N,2004-2021
CZE,2014,FALSE,INC,0,,0,.0055627,.00278433,.0005439,.0005439,EU-SILC,N,2004-2021
CZE,2015,FALSE,INC,0,,0,.0046641,.00296002,.0003945,.0003945,EU-SILC,N,2004-2021
CZE,2016,FALSE,INC,.0000302,,0,.0039478,.0026954,.0003958,.000426,EU-SILC,N,2004-2021
CZE,2017,FALSE,INC,.0000294,,0,.0052107,.0032656,.0005615,.0005909,EU-SILC,N,2004-2021
CZE,2018,FALSE,INC,.0000326,,0,.0044543,.00226131,.0001169,.0001495,EU-SILC,N,2004-2021
CZE,2019,FALSE,INC,.0000202,,0,.0028146,.00170929,.0001461,.0001663,EU-SILC,N,2004-2021
CZE,2020,FALSE,INC,0,,0,,0,.000329,.000329,EU-SILC,N,2004-2021
CZE,2021,FALSE,INC,.0003081,,0,,0,.0010753,.0013835,EU-SILC,N,2004-2021
DEU,2010,FALSE,INC,.0095073,.0269035,0,0,,.0009203,.0013354,GSOEP-LIS,N,1991-2019
DEU,2011,FALSE,INC,.0089131,.030374,0,0,,.0007447,.0010895,GSOEP-LIS,N,1991-2019
DEU,2012,FALSE,INC,.0140284,.0270137,0,0,,.000593,.0011877,GSOEP-LIS,N,1991-2019
DEU,2013,FALSE,INC,.014993,.0254852,0,0,,.0005214,.0011273,GSOEP-LIS,N,1991-2019
DEU,2014,FALSE,INC,.0160876,.0231677,0,0,,.0009167,.0025844,GSOEP-LIS,N,1991-2019
DEU,2015,FALSE,INC,.0135546,.0213045,0,0,,.0008297,.0009479,GSOEP-LIS,N,1991-2019
DEU,2017,FALSE,INC,.0249626,.0214265,0,0,,.0015606,.0022348,GSOEP-LIS,N,1991-2019
DEU,2018,FALSE,INC,.0225151,.0254822,0,0,,.0008187,.001656,GSOEP-LIS,N,1991-2019
DEU,2019,FALSE,INC,.0185274,.0265945,0,0,,.0009203,.0015112,GSOEP-LIS,N,1991-2019
DJI,2012,FALSE,CONS,.3304634,.2642785,.4540701,.5959068,.06966554,.1969191,.3375436,EDAM,N,2012
DJI,2017,FALSE,CONS,.3006055,.1804311,.3418616,.4538531,.070786,.1910611,.2927904,EDAM,N,2017
DNK,2008,FALSE,INC,.0217869,,0,0,.00712982,.0141595,.0355872,EU-SILC,N,2003-2021
DNK,2009,FALSE,INC,.0169522,,0,0,.00826742,.0128527,.029333,EU-SILC,N,2003-2021
DNK,2010,FALSE,INC,.0112323,,0,.005543,.02399119,.0065698,.0178021,EU-SILC,N,2003-2021
DNK,2011,FALSE,INC,.0107415,,0,.0035982,.02437511,.0050697,.0152664,EU-SILC,N,2003-2021
DNK,2012,FALSE,INC,.0130971,,0,.0062336,.02037274,.006642,.017987,EU-SILC,N,2003-2021
DNK,2013,FALSE,INC,.0138977,,0,.004775,.02242411,.009324,.021923,EU-SILC,N,2003-2021
DNK,2014,FALSE,INC,.0185202,,0,.005641,.02164355,.0054253,.0232142,EU-SILC,N,2003-2021
DNK,2015,FALSE,INC,.0090638,,0,.0055741,.02361005,.0055529,.0139747,EU-SILC,N,2003-2021
DNK,2016,FALSE,INC,.0035656,,0,.0050015,.02036948,.005815,.0093806,EU-SILC,N,2003-2021
DNK,2017,FALSE,INC,.0041903,,0,.0040429,.01870271,.0049094,.0088459,EU-SILC,N,2003-2021
DNK,2018,FALSE,INC,.0028163,,0,.0027315,.01761246,.0060666,.0088719,EU-SILC,N,2003-2021
DNK,2019,FALSE,INC,.004651,,0,.0048648,.02025226,.0049921,.0094689,EU-SILC,N,2003-2021
DNK,2020,FALSE,INC,.0063026,,0,,0,.005631,.0118417,EU-SILC,N,2003-2021
DNK,2021,FALSE,INC,.0061792,,0,,0,.0035999,.009464,EU-SILC,N,2003-2021
DOM,2010,FALSE,INC,.178253,.0276491,.0123526,.0325147,.22495549,.0386921,.0619622,ENFT,N,2005-2016
DOM,2011,FALSE,INC,.1651027,.0261362,.0137243,.0282801,.24806147,.0405529,.0653587,ENFT,N,2005-2016
DOM,2012,FALSE,INC,.1605236,.0238549,.0110225,.0306647,.23833665,.0384886,.0585637,ENFT,N,2005-2016
DOM,2013,FALSE,INC,.1549645,.0161364,.0100437,.0354616,.24079588,.0297182,.0512479,ENFT,N,2005-2016
DOM,2014,FALSE,INC,.1470977,.0210965,.0083291,.0239515,.22416404,.0335593,.0506051,ENFT,N,2005-2016
DOM,2015,FALSE,INC,.134928,.0168657,.0076356,.0240716,.21554396,.0253499,.0413301,ENFT,N,2005-2016
DOM,2016,FALSE,INC,.1336485,.0162341,.0054041,.0204102,.17621737,.0203017,.035489,ENFT,N,2005-2016
DOM,2017,FALSE,INC,.1356993,.05707,.0087611,.0697036,.04784747,.0100155,.0279818,ECNFT-Q03,N,2017-2022
DOM,2018,FALSE,INC,.1436107,.0379973,.0086168,.0671282,.05505968,.0083553,.0242865,ECNFT-Q03,N,2017-2022
DOM,2019,FALSE,INC,.124426,.0627136,.0069274,.0649556,.05852424,.0083269,.0241235,ECNFT-Q03,N,2017-2022
DOM,2020,FALSE,INC,.1309988,.0882303,.0060551,.0566508,.05159367,.0095942,.0286232,ECNFT-Q03,N,2017-2022
DOM,2021,FALSE,INC,.1217747,.0542305,.00475,.0552895,.04678269,.0085373,.0181327,ECNFT-Q03,N,2017-2022
DOM,2022,FALSE,INC,.13156,.0633692,.0034873,.051543,.05142553,.0075718,.0204203,ECNFT-Q03,N,2017-2022
ECU,2010,FALSE,INC,.0670911,.0372442,.0259582,.0494209,.05231005,.056782,.0680383,ENEMDU,N,2007-2022
